,Fuel,Driven,Automatic,Owner,Location,Price,Brand,Years
100,Petrol,63000.0,Manual,2,MH,263000,Maruti,9
101,Petrol,90000.0,Manual,2,MH,75000,Hyundai,16
102,Diesel,120000.0,Automatic,1,PJ,165000,Nissan,11
103,Diesel,57000.0,Manual,1,GU,925000,Maruti,5
104,Petrol,35000.0,Manual,1,GU,680000,Maruti,2
105,Petrol,92000.0,Manual,2,UP,195000,Honda,14
106,Petrol,83000.0,Manual,4,KR,93000,Maruti,18
107,Petrol,118000.0,Manual,2,AP,110000,Maruti,14
108,Petrol,28000.0,Manual,1,AP,285000,Renault,4
109,Diesel,58000.0,Manual,2,KE,1400000,Jeep,5
110,Petrol,707105.0,Manual,4,UK,140000,Hyundai,12
111,Petrol,90000.0,Manual,3,UP,180000,Maruti,11
112,Petrol,4000.0,Manual,1,DL,1220000,Honda,1
113,Petrol,63000.0,Manual,1,DL,325000,Renault,5
114,Diesel,75000.0,Manual,1,DL,890000,Mahindra,2
115,Petrol,140000.0,Manual,4,TN,270000,Maruti,14
116,Diesel,20614.0,Manual,1,HY,840000,Mahindra,5
117,Diesel,142058.0,Manual,2,MH,535000,Mahindra,8
118,Diesel,50000.0,Manual,1,TN,1500000,Jeep,4
119,Diesel,160000.0,Manual,3,TN,450000,Toyota,15
120,CNG,120000.0,Automatic,4,PJ,130000,Hyundai,14
121,CNG & HYBRIDS,113346.0,Manual,2,UP,150000,Hyundai,12
122,Diesel,100000.0,Manual,2,UP,45000,San,8
123,Diesel,113000.0,Manual,2,AP,200000,Fiat,11
124,Petrol,34000.0,Manual,1,DL,675000,Tata,4
125,Diesel,261000.0,Manual,2,TN,650000,Toyota,12
126,Diesel,67000.0,Automatic,1,DL,575000,Mahindra,6
127,Diesel,68000.0,Manual,1,GU,785000,Force,4
128,Diesel,98315.0,Manual,3,PJ,250000,Maruti,14
129,Diesel,10000.0,Automatic,2,KE,35000,Tata,19
130,Diesel,65000.0,Manual,2,MP,265000,Maruti,8
131,Petrol,3000.0,Manual,1,UK,500000,Maruti,3
132,Diesel,105000.0,Manual,1,PJ,161000,Maruti,11
133,Diesel,47000.0,Automatic,2,GU,790000,Mahindra,8
134,Diesel,93000.0,Manual,2,KR,895000,Toyota,8
135,Diesel,90000.0,Manual,2,AP,280000,Ford,9
136,Diesel,90000.0,Automatic,2,DL,1125000,Toyota,9
